model,episode,t,prior_residual,prior_position_residual,prior_velocity_residual,dim0_residual,dim1_residual,dim2_residual,dim3_residual,dim4_residual,dim5_residual,dim6_residual,dim7_residual,dim8_residual,dim9_residual,dim10_residual,dim11_residual,dim12_residual,dim13_residual,dim14_residual,dim15_residual,dim16_residual,dim17_residual
tssm,204,313,0.6442841291427612,0.01442032027989626,0.9110412001609802,0.015827283263206482,0.03145502507686615,0.007210090756416321,0.010703474283218384,0.00041775964200496674,0.00017230212688446045,0.013189535588026047,0.01559801772236824,0.006897330284118652,0.8257632255554199,0.32589805126190186,0.46249890327453613,0.7805399298667908,1.12956964969635,2.008227825164795,0.7411935329437256,0.020900238305330276,0.003314397530630231
tssm,204,314,0.6055235266685486,0.011321397498250008,0.8562647700309753,0.00709514319896698,0.01835070550441742,0.0036631375551223755,0.023605942726135254,0.008916355669498444,0.006496310234069824,0.0018761008977890015,0.0016770139336585999,0.008232992142438889,0.6752995252609253,0.4360347390174866,0.20917022228240967,0.08495554327964783,0.9308823347091675,2.233311414718628,0.2168121337890625,0.017916303128004074,0.005322569981217384
tssm,204,315,0.5345317125320435,0.015378501266241074,0.7557855844497681,0.029326245188713074,0.010875284671783447,0.002115800976753235,0.02804511785507202,0.0072674937546253204,0.012660808861255646,0.009452380239963531,0.0002998523414134979,0.007525231689214706,0.4945383667945862,0.3898400366306305,1.6977119445800781,0.1916986107826233,0.9142417907714844,0.7423974275588989,0.6619241237640381,0.015862932428717613,0.0011502578854560852
tssm,204,316,0.5328332781791687,0.025422023609280586,0.7531111240386963,0.002054765820503235,0.011362701654434204,0.02530524879693985,0.06340783834457397,0.0014055520296096802,0.01370258629322052,0.027023717761039734,0.0044381022453308105,0.009086068719625473,0.9270139932632446,0.592126190662384,0.4910428524017334,0.4316781759262085,1.1824758052825928,1.1869547367095947,0.8123551607131958,0.010858429595828056,0.00029336288571357727
tssm,204,317,0.8210728168487549,0.021543648093938828,1.1609724760055542,0.01256059855222702,0.000984102487564087,0.010146960616111755,0.04578086733818054,0.013806718401610851,0.03250190615653992,0.0215289443731308,0.002903599292039871,0.010032322257757187,0.7918449640274048,0.21122747659683228,0.43117600679397583,2.103818416595459,0.20677471160888672,0.24565672874450684,2.5968282222747803,0.014656398445367813,0.016655758023262024
tssm,204,318,0.4702853262424469,0.024305300787091255,0.6646396517753601,0.03849922865629196,0.03497941792011261,0.007202237844467163,0.0478554368019104,0.0020781829953193665,0.009747788310050964,0.0017915423959493637,0.010340826585888863,0.00771254301071167,0.534939169883728,0.02091085910797119,0.2207169532775879,0.30128490924835205,1.408306360244751,0.5347394943237305,1.1312358379364014,0.020599976181983948,0.015329697169363499
tssm,204,319,1.1032397747039795,0.04015560448169708,1.5596997737884521,0.006793446838855743,0.026345089077949524,0.030208632349967957,0.06512720882892609,0.003485262393951416,0.09249438345432281,0.00069398432970047,0.0001325644552707672,0.00707583874464035,1.4238574504852295,0.04688585549592972,2.1965551376342773,0.6806753873825073,2.1854820251464844,3.127703905105591,0.1278820037841797,0.026824306696653366,0.01705646514892578
tssm,204,320,1.232715368270874,0.039676908403635025,1.7428712844848633,0.02368229441344738,0.014617547392845154,0.058714091777801514,0.0980013906955719,0.0019518658518791199,0.013278782367706299,0.011041219346225262,0.005201537162065506,0.0036153383553028107,1.3962798118591309,0.5163743495941162,2.087836980819702,1.1093345880508423,1.0645849704742432,0.980994462966919,4.175546169281006,0.017478860914707184,0.03596138581633568
tssm,204,321,0.375427782535553,0.03810130059719086,0.5295661687850952,0.057803913950920105,0.04070614278316498,0.022445067763328552,0.0858626663684845,0.0063827987760305405,0.007926076650619507,0.0014635100960731506,0.005367152392864227,0.00751074030995369,0.32340461015701294,0.5689018964767456,0.2180890589952469,1.1913275718688965,0.03653860092163086,0.7855935096740723,0.09780311584472656,0.01765335537493229,0.023014813661575317
tssm,204,322,1.1071072816848755,0.034980710595846176,1.5652953386306763,0.04920545965433121,0.05426829308271408,0.038061171770095825,0.05910415202379227,0.011912941932678223,0.005711913108825684,0.009741231799125671,0.008962206542491913,0.018839210271835327,2.248944044113159,0.07493031024932861,1.758089542388916,1.0072981119155884,3.3722665309906006,1.2145538330078125,0.18693089485168457,0.006487421225756407,0.012019951827824116
