metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
rollout,26,0.7156506180763245,0.04524220526218414,0.054602790623903275,0.0485796183347702,0.03742174059152603,0.10814840346574783,0.052853696048259735,0.03637872636318207,0.011671141721308231,0.01885167509317398,1.120229959487915,0.6245818138122559,1.6408944129943848,0.5849462151527405,0.826520562171936,0.7998152375221252,1.7862640619277954,0.013923801481723785,0.014910690486431122
rollout,27,0.7373936772346497,0.04618454352021217,0.05512484908103943,0.049272410571575165,0.037885941565036774,0.11262783408164978,0.05384668707847595,0.03741477429866791,0.01189471036195755,0.019741201773285866,1.1545701026916504,0.6370164155960083,1.696197748184204,0.5880244374275208,0.8646085262298584,0.793428897857666,1.8497997522354126,0.01402051281183958,0.014946529641747475
rollout,28,0.7602332234382629,0.04713086411356926,0.05555233359336853,0.05013342574238777,0.03805579990148544,0.11682184040546417,0.054755184799432755,0.03804023936390877,0.012076593935489655,0.02060464210808277,1.1921730041503906,0.6513360738754272,1.7503410577774048,0.59978848695755,0.8777420520782471,0.8153436183929443,1.9158899784088135,0.014237782917916775,0.015487805008888245
rollout,29,0.7835399508476257,0.0481460839509964,0.055968645960092545,0.05131535232067108,0.03835137188434601,0.12132313847541809,0.05571208894252777,0.03901996091008186,0.012441100552678108,0.02123626135289669,1.2296007871627808,0.6651009917259216,1.8069205284118652,0.6124147772789001,0.8892984986305237,0.8461543321609497,1.979833722114563,0.01470810268074274,0.01552524883300066
rollout,30,0.8066800236701965,0.04922109842300415,0.05633658543229103,0.052161943167448044,0.038410086184740067,0.12598587572574615,0.05683630704879761,0.04001463204622269,0.01248936913907528,0.022146429866552353,1.267238736152649,0.6780043840408325,1.8633142709732056,0.6214473247528076,0.910734236240387,0.8655766844749451,2.044307231903076,0.014940067194402218,0.01576622761785984
rollout,31,0.8302793502807617,0.05049407109618187,0.056804921478033066,0.053216271102428436,0.03868808597326279,0.13025234639644623,0.05761773884296417,0.041357286274433136,0.012754848226904869,0.02270619384944439,1.3051680326461792,0.6927035450935364,1.9219496250152588,0.6273515820503235,0.9253090023994446,0.8800404071807861,2.1151466369628906,0.015283589251339436,0.016172368079423904
rollout,32,0.8528712391853333,0.05169651657342911,0.05671028420329094,0.05418337509036064,0.038917046040296555,0.13483019173145294,0.05860117822885513,0.04241162911057472,0.012925018556416035,0.023496128618717194,1.3422753810882568,0.709035336971283,1.9820213317871094,0.6418413519859314,0.937810480594635,0.8880559802055359,2.1783230304718018,0.015688586980104446,0.016300290822982788
rollout,33,0.8765793442726135,0.052683040499687195,0.056922607123851776,0.05502770468592644,0.03920517489314079,0.1393308788537979,0.059418074786663055,0.043559737503528595,0.013326537795364857,0.024605700746178627,1.3735334873199463,0.7235004901885986,2.0396509170532227,0.65432208776474,0.966009795665741,0.9020313620567322,2.2470219135284424,0.01597069390118122,0.016675764694809914
rollout,34,0.8999756574630737,0.05378660559654236,0.05729718878865242,0.05621476098895073,0.03945942595601082,0.143915057182312,0.06022697314620018,0.044725168496370316,0.01344691589474678,0.025308895856142044,1.4114563465118408,0.7375071048736572,2.100584030151367,0.6671143174171448,0.9798345565795898,0.9168350100517273,2.3122103214263916,0.016504961997270584,0.016906149685382843
rollout,35,0.9227601289749146,0.05517801642417908,0.05788012593984604,0.05695367604494095,0.03986716642975807,0.1486193835735321,0.06121790036559105,0.04600416496396065,0.0137246772646904,0.025985997170209885,1.4468783140182495,0.7546437978744507,2.1560468673706055,0.6801455616950989,0.9969406127929688,0.9347230195999146,2.3758063316345215,0.01680866815149784,0.01713845320045948
