metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
rollout,28,2.7199251651763916,0.35359862446784973,0.7640767693519592,0.36706262826919556,0.3377211093902588,0.28601303696632385,0.2906697988510132,0.31693583726882935,0.03829298913478851,0.03866814449429512,4.746875762939453,3.336077928543091,4.144357681274414,3.278348445892334,4.788280963897705,5.172852039337158,4.545437812805176,0.04954063892364502,0.03872520476579666
rollout,29,2.81013822555542,0.35703644156455994,0.7800777554512024,0.3707679212093353,0.3598506450653076,0.28356993198394775,0.29030367732048035,0.3164897859096527,0.040177155286073685,0.040539827197790146,4.936748027801514,3.492022752761841,4.336750507354736,3.4210143089294434,4.833782196044922,5.378841400146484,4.636227607727051,0.0514703094959259,0.04013775661587715
rollout,30,2.9174842834472656,0.3607499599456787,0.7956783175468445,0.3757424056529999,0.3832099735736847,0.2816009521484375,0.2911420464515686,0.3177435100078583,0.0416906476020813,0.04207032546401024,5.148993968963623,3.6476376056671143,4.4964213371276855,3.5712482929229736,4.991256237030029,5.5944342613220215,4.78404426574707,0.05365392193198204,0.04182460159063339
rollout,31,3.0268194675445557,0.36536264419555664,0.8118959665298462,0.38123929500579834,0.40647920966148376,0.2811167538166046,0.2924859821796417,0.3194379508495331,0.043471913784742355,0.04361787065863609,5.344480037689209,3.7843401432037354,4.712757587432861,3.713588237762451,5.134424209594727,5.835982799530029,4.921818733215332,0.05605483800172806,0.042918138206005096
rollout,32,3.136756658554077,0.3700239956378937,0.8287296295166016,0.3850620687007904,0.42975807189941406,0.2808825969696045,0.29489943385124207,0.31984132528305054,0.04516120254993439,0.045334525406360626,5.63098669052124,3.94956636428833,4.88265323638916,3.8533682823181152,5.346546649932861,5.9353132247924805,5.085543632507324,0.05770106241106987,0.04475846141576767
rollout,33,3.2498910427093506,0.3755458891391754,0.8458853363990784,0.38829541206359863,0.45261847972869873,0.2804432809352875,0.29752078652381897,0.32199323177337646,0.046846844255924225,0.04706437140703201,5.8779616355896,4.11680793762207,5.107985019683838,3.972144842147827,5.509541034698486,6.134137153625488,5.221914768218994,0.06010183319449425,0.046194083988666534
rollout,34,3.3447773456573486,0.3808719217777252,0.8624707460403442,0.3927794396877289,0.4757798910140991,0.2784997224807739,0.29998648166656494,0.3243759274482727,0.04857495427131653,0.04866689071059227,6.061098098754883,4.290365219116211,5.223790645599365,4.138463973999023,5.643380165100098,6.38535737991333,5.257645606994629,0.06234124302864075,0.04799821227788925
rollout,35,3.46671724319458,0.38593336939811707,0.8785265684127808,0.3965230882167816,0.5004978179931641,0.27900010347366333,0.3013399839401245,0.32699158787727356,0.0503246933221817,0.05053645372390747,6.308910369873047,4.474817752838135,5.4133687019348145,4.287905693054199,5.796860694885254,6.58444356918335,5.498636722564697,0.06443177163600922,0.04956359788775444
rollout,36,3.571885585784912,0.39155831933021545,0.8942649960517883,0.40082675218582153,0.525117814540863,0.27947863936424255,0.3042006492614746,0.329651415348053,0.05211855098605156,0.05223937705159187,6.517928123474121,4.6602678298950195,5.598570346832275,4.421511173248291,5.917792797088623,6.803388595581055,5.618517875671387,0.06668996065855026,0.051080718636512756
rollout,37,3.6938672065734863,0.3969469666481018,0.9093979597091675,0.4061359763145447,0.5499471426010132,0.2809414565563202,0.3070868253707886,0.33140724897384644,0.05384419113397598,0.053864486515522,6.808504104614258,4.843245029449463,5.787753105163574,4.568319320678711,6.190505504608154,6.940760612487793,5.760084629058838,0.06875096261501312,0.05250073969364166
rollout,38,3.802158832550049,0.4021568298339844,0.9241989850997925,0.4116821587085724,0.5755304098129272,0.2820785641670227,0.31082865595817566,0.33347341418266296,0.055545683950185776,0.055560361593961716,7.022276878356934,5.019392967224121,5.950082302093506,4.672375202178955,6.374603271484375,7.173960208892822,5.878334999084473,0.07090336829423904,0.05385458469390869
